iter	Passed	Remaining
181	753	3388
182	758	3384
183	762	3382
184	766	3376
185	770	3371
186	775	3370
187	779	3366
188	783	3362
189	787	3358
190	792	3355
191	796	3350
192	800	3345
193	804	3340
194	807	3335
195	811	3330
196	816	3326
197	820	3322
198	824	3318
199	828	3314
200	832	3309
201	836	3303
202	840	3299
203	845	3297
204	849	3292
205	853	3288
206	857	3285
207	862	3282
208	866	3278
209	871	3278
210	879	3287
211	883	3283
212	887	3278
213	891	3274
214	895	3269
215	899	3265
216	904	3264
217	909	3261
218	913	3256
219	917	3253
220	922	3249
221	926	3246
222	930	3241
223	934	3235
224	938	3233
225	942	3228
226	946	3224
227	951	3220
228	955	3216
229	959	3211
230	963	3206
231	967	3203
232	972	3202
233	977	3199
234	981	3195
235	985	3191
236	990	3187
237	994	3183
238	998	3178
239	1002	3174
240	1007	3172
241	1011	3166
242	1015	3162
243	1019	3159
244	1024	3156
245	1028	3151
246	1032	3147
247	1036	3143
248	1041	3139
249	1044	3134
250	1048	3129
251	1053	3126
252	1057	3121
253	1061	3117
254	1065	3112
255	1069	3108
256	1073	3103
257	1077	3098
258	1081	3094
259	1085	3090
260	1089	3084
261	1093	3079
262	1097	3075
263	1102	3073
264	1106	3068
265	1110	3063
266	1114	3059
267	1118	3055
268	1122	3051
269	1126	3046
270	1130	3041
271	1134	3037
272	1138	3032
273	1142	3027
274	1146	3023
275	1150	3019
276	1155	3014
277	1158	3009
278	1163	3005
279	1167	3002
280	1172	3000
281	1176	2995
282	1180	2990
283	1184	2987
284	1188	2981
285	1192	2977
286	1196	2972
287	1200	2967
288	1204	2963
289	1208	2959
290	1212	2954
291	1216	2950
292	1220	2946
293	1224	2941
294	1229	2938
295	1233	2934
296	1238	2930
297	1242	2925
298	1246	2922
299	1250	2918
300	1254	2913
301	1258	2908
302	1262	2904
303	1266	2899
304	1270	2895
305	1274	2890
306	1279	2887
307	1283	2883
308	1287	2878
309	1291	2873
310	1295	2869
311	1299	2866
312	1304	2863
313	1308	2858
314	1312	2854
315	1316	2849
316	1320	2844
317	1324	2839
318	1327	2834
319	1332	2831
320	1336	2826
321	1340	2821
322	1343	2816
323	1348	2812
324	1352	2808
325	1356	2803
326	1360	2800
327	1364	2795
328	1369	2792
329	1373	2787
330	1376	2783
331	1381	2779
332	1385	2775
333	1389	2771
334	1394	2767
335	1398	2763
336	1402	2758
337	1406	2753
338	1410	2749
339	1414	2745
340	1418	2740
341	1422	2736
342	1426	2732
343	1431	2729
344	1435	2724
345	1439	2720
346	1443	2716
347	1447	2711
348	1451	2707
349	1455	2702
350	1459	2698
351	1463	2693
352	1467	2689
353	1471	2685
354	1475	2681
355	1480	2677
356	1484	2673
357	1488	2668
358	1492	2663
359	1496	2660
360	1500	2656
361	1504	2652
362	1508	2648
363	1513	2643
364	1517	2639
365	1521	2634
366	1524	2630
367	1529	2626
368	1533	2621
369	1537	2617
370	1541	2612
371	1545	2608
372	1549	2604
373	1553	2600
374	1558	2597
375	1562	2593
376	1566	2589
377	1571	2585
378	1575	2581
379	1579	2576
380	1583	2571
381	1586	2567
382	1591	2563
383	1594	2558
384	1599	2554
385	1603	2550
386	1607	2546
387	1611	2542
388	1615	2537
389	1619	2532
390	1623	2529
391	1628	2525
392	1632	2521
393	1636	2517
394	1640	2513
395	1644	2509
396	1648	2504
397	1652	2499
398	1656	2494
399	1660	2491
400	1664	2486
401	1668	2482
402	1672	2478
403	1676	2473
404	1680	2469
405	1685	2465
406	1689	2461
407	1694	2458
408	1698	2454
409	1702	2449
410	1706	2446
411	1710	2441
412	1714	2437
413	1719	2433
414	1722	2428
415	1727	2424
416	1731	2420
417	1735	2416
418	1739	2411
419	1742	2406
420	1746	2402
421	1750	2397
422	1755	2394
423	1759	2390
424	1763	2385
425	1767	2381
426	1771	2377
427	1775	2372
428	1779	2368
429	1783	2363
430	1787	2359
431	1791	2354
432	1795	2350
433	1798	2345
434	1803	2341
435	1806	2337
436	1810	2332
437	1814	2328
438	1818	2323
439	1823	2321
440	1828	2317
441	1831	2312
442	1836	2308
443	1840	2304
444	1844	2300
445	1848	2295
446	1851	2290
447	1855	2286
448	1860	2282
449	1864	2278
450	1868	2274
451	1872	2270
452	1876	2265
453	1880	2261
454	1884	2257
455	1888	2253
456	1893	2249
457	1897	2245
458	1901	2241
459	1905	2236
460	1909	2232
461	1912	2227
462	1916	2223
463	1920	2218
464	1924	2214
465	1928	2210
466	1933	2206
467	1936	2201
468	1940	2197
469	1945	2193
470	1949	2189
471	1953	2185
472	1957	2181
473	1961	2177
474	1966	2172
475	1970	2168
476	1973	2164
477	1977	2159
478	1981	2155
479	1986	2151
480	1989	2147
481	1994	2143
482	1998	2139
483	2002	2134
484	2006	2130
485	2010	2126
486	2014	2122
487	2019	2118
488	2023	2114
489	2027	2110
490	2032	2106
491	2036	2102
492	2040	2098
493	2044	2094
494	2048	2090
495	2052	2085
496	2056	2081
497	2061	2077
498	2065	2073
499	2069	2069
500	2072	2064
501	2077	2060
502	2082	2057
503	2086	2053
504	2091	2049
505	2095	2046
506	2099	2041
507	2104	2037
508	2107	2033
509	2111	2028
510	2116	2025
511	2120	2021
512	2124	2017
513	2129	2013
514	2133	2009
515	2137	2004
516	2141	2000
517	2145	1996
518	2150	1993
519	2154	1989
520	2159	1985
521	2163	1981
522	2167	1977
523	2171	1972
524	2175	1968
525	2179	1963
526	2184	1960
527	2188	1956
528	2192	1951
529	2196	1948
530	2200	1943
531	2205	1939
532	2210	1936
533	2214	1932
534	2218	1928
535	2222	1924
536	2227	1920
537	2231	1916
538	2235	1911
539	2239	1907
540	2243	1903
541	2247	1898
542	2251	1894
543	2255	1890
544	2259	1886
545	2263	1882
546	2267	1878
547	2271	1873
548	2276	1869
549	2280	1865
550	2284	1861
551	2288	1857
552	2292	1853
553	2296	1849
554	2301	1844
555	2305	1840
556	2309	1836
557	2313	1832
558	2317	1828
559	2321	1824
560	2325	1820
561	2329	1815
562	2334	1811
563	2338	1807
564	2342	1803
565	2346	1799
566	2350	1795
567	2354	1790
568	2359	1786
569	2363	1782
570	2367	1778
571	2371	1774
572	2376	1770
573	2380	1766
574	2384	1762
575	2388	1758
576	2392	1754
577	2396	1749
578	2400	1745
579	2404	1741
580	2408	1737
581	2413	1733
582	2416	1728
583	2421	1724
584	2425	1720
585	2429	1716
586	2433	1712
587	2437	1707
588	2441	1703
589	2445	1699
590	2449	1695
591	2453	1691
592	2458	1687
593	2461	1682
594	2465	1678
595	2469	1673
596	2474	1670
597	2478	1666
598	2482	1662
599	2487	1658
600	2491	1654
601	2495	1649
602	2499	1645
603	2503	1641
604	2507	1636
605	2510	1632
606	2514	1628
607	2518	1623
608	2523	1619
609	2527	1615
610	2531	1611
611	2536	1608
612	2540	1604
613	2544	1599
614	2549	1596
615	2553	1591
616	2557	1587
617	2561	1583
618	2565	1578
619	2569	1574
620	2573	1570
621	2577	1566
622	2581	1562
623	2585	1558
624	2589	1553
625	2593	1549
626	2598	1545
627	2602	1541
628	2607	1537
629	2611	1533
630	2615	1529
631	2619	1525
632	2623	1521
633	2627	1516
634	2631	1512
635	2635	1508
636	2639	1504
637	2643	1499
638	2647	1495
639	2651	1491
640	2655	1487
641	2660	1483
642	2664	1479
643	2669	1475
644	2673	1471
645	2677	1467
646	2681	1462
647	2686	1459
648	2690	1455
649	2694	1450
650	2698	1446
651	2702	1442
652	2706	1438
653	2710	1434
654	2715	1430
655	2718	1425
656	2722	1421
657	2726	1417
658	2730	1413
659	2736	1409
660	2740	1405
661	2744	1401
662	2749	1397
663	2753	1393
664	2756	1388
665	2760	1384
666	2764	1380
667	2769	1376
668	2773	1372
669	2777	1367
670	2781	1363
671	2785	1359
672	2789	1355
673	2793	1351
674	2798	1347
675	2803	1343
676	2807	1339
677	2811	1335
678	2815	1331
679	2819	1326
680	2823	1322
681	2827	1318
682	2831	1314
683	2835	1310
684	2839	1305
685	2843	1301
686	2852	1299
687	2856	1295
688	2861	1291
689	2866	1287
690	2870	1283
691	2874	1279
692	2879	1275
693	2883	1271
694	2887	1267
695	2890	1262
696	2895	1258
697	2898	1254
698	2902	1249
699	2906	1245
700	2910	1241
701	2914	1237
702	2918	1232
703	2922	1228
704	2926	1224
705	2932	1220
706	2935	1216
707	2940	1212
708	2944	1208
709	2948	1204
710	2952	1200
711	2956	1195
712	2960	1191
713	2964	1187
714	2968	1183
715	2973	1179
716	2977	1175
717	2982	1171
718	2986	1167
719	2990	1162
720	2994	1158
721	2999	1154
722	3003	1150
723	3007	1146
724	3011	1142
725	3015	1138
726	3019	1133
727	3023	1129
728	3027	1125
729	3031	1121
730	3035	1117
731	3039	1112
732	3044	1108
733	3047	1104
734	3051	1100
735	3055	1096
736	3061	1092
737	3065	1088
738	3069	1083
739	3073	1079
740	3077	1075
741	3081	1071
742	3085	1067
743	3089	1063
744	3094	1059
745	3098	1054
746	3102	1050
747	3106	1046
748	3110	1042
749	3115	1038
750	3118	1034
751	3122	1029
752	3127	1025
753	3131	1021
754	3135	1017
755	3140	1013
756	3144	1009
757	3148	1005
758	3152	1000
759	3156	996
760	3160	992
761	3164	988
762	3168	984
763	3172	979
764	3176	975
765	3180	971
766	3184	967
767	3189	963
768	3193	959
769	3197	955
770	3201	950
771	3205	946
772	3209	942
773	3213	938
774	3217	934
775	3221	930
776	3225	925
777	3229	921
778	3233	917
779	3237	913
780	3241	909
781	3245	904
782	3249	900
783	3253	896
784	3258	892
785	3262	888
786	3266	884
787	3270	879
788	3274	875
789	3278	871
790	3282	867
791	3286	863
792	3291	859
793	3294	854
794	3299	850
795	3303	846
796	3307	842
797	3311	838
798	3315	834
799	3319	829
800	3324	825
801	3328	821
802	3332	817
803	3336	813
804	3340	809
805	3344	805
806	3348	800
807	3352	796
808	3356	792
809	3360	788
810	3365	784
811	3369	780
812	3373	775
813	3376	771
814	3380	767
815	3385	763
816	3390	759
817	3394	755
818	3398	751
819	3402	746
820	3406	742
821	3410	738
822	3414	734
823	3418	730
824	3422	725
825	3426	721
826	3430	717
827	3434	713
828	3438	709
829	3442	705
830	3446	700
831	3450	696
832	3455	692
833	3459	688
834	3463	684
835	3467	680
836	3471	676
837	3475	671
838	3479	667
839	3483	663
840	3487	659
841	3491	655
842	3495	650
843	3499	646
844	3503	642
845	3507	638
846	3511	634
847	3516	630
848	3520	626
849	3524	621
850	3528	617
851	3532	613
852	3536	609
853	3540	605
854	3544	601
855	3548	596
856	3552	592
857	3556	588
858	3560	584
859	3564	580
860	3568	576
861	3572	571
862	3575	567
863	3580	563
864	3584	559
865	3588	555
866	3592	551
867	3597	547
868	3601	542
869	3605	538
870	3609	534
871	3612	530
872	3617	526
873	3621	522
874	3625	517
875	3629	513
876	3633	509
877	3638	505
878	3642	501
879	3646	497
880	3650	493
881	3654	488
882	3658	484
883	3662	480
884	3666	476
885	3671	472
886	3674	468
887	3679	464
888	3682	459
889	3686	455
890	3691	451
891	3695	447
892	3699	443
893	3703	439
894	3707	434
895	3712	430
896	3717	426
897	3721	422
898	3726	418
899	3730	414
900	3734	410
901	3738	406
902	3742	402
903	3746	397
904	3750	393
905	3754	389
906	3758	385
907	3762	381
908	3767	377
909	3770	372
910	3775	368
911	3779	364
912	3784	360
913	3788	356
914	3792	352
915	3796	348
916	3800	344
917	3804	339
918	3808	335
919	3812	331
920	3816	327
921	3820	323
922	3824	319
923	3828	314
924	3832	310
925	3836	306
926	3841	302
927	3845	298
928	3849	294
929	3853	290
930	3857	285
931	3861	281
932	3865	277
933	3869	273
934	3873	269
935	3878	265
936	3882	261
937	3885	256
938	3890	252
939	3894	248
940	3898	244
941	3902	240
942	3906	236
943	3911	232
944	3914	227
945	3918	223
946	3923	219
947	3927	215
948	3931	211
949	3935	207
950	3939	202
951	3943	198
952	3947	194
953	3951	190
954	3955	186
955	3959	182
956	3963	178
957	3967	173
958	3971	169
959	3976	165
960	3980	161
961	3984	157
962	3988	153
963	3992	149
964	3996	144
965	4000	140
966	4005	136
967	4009	132
968	4013	128
969	4017	124
970	4021	120
971	4025	115
972	4029	111
973	4033	107
974	4038	103
975	4042	99
976	4046	95
977	4051	91
978	4054	86
979	4058	82
980	4062	78
981	4066	74
982	4071	70
983	4075	66
984	4079	62
985	4083	57
986	4088	53
987	4092	49
988	4095	45
989	4099	41
990	4104	37
991	4108	33
992	4113	28
993	4117	24
994	4121	20
995	4125	16
996	4129	12
997	4133	8
998	4137	4
999	4141	0
