iter	RMSE
129	0.7425088148
130	0.741645311
131	0.7414311952
132	0.7412554884
133	0.7410933116
134	0.7409390977
135	0.7400340956
136	0.7399198612
137	0.7397004048
138	0.7384680849
139	0.7376482603
140	0.7374782712
141	0.7373093092
142	0.7370931038
143	0.7363393952
144	0.7357053118
145	0.7355567748
146	0.7353355816
147	0.7343703566
148	0.7333580629
149	0.7324389949
150	0.732222159
151	0.7320062017
152	0.731809065
153	0.7316684605
154	0.7314360068
155	0.7312049236
156	0.7308702117
157	0.7301604369
158	0.7299627408
159	0.7297642005
160	0.7295723907
161	0.7294269413
162	0.7286883103
163	0.7284858061
164	0.7281795673
165	0.7275313607
166	0.7272920561
167	0.7271034604
168	0.7261671461
169	0.7259377591
170	0.7251638244
171	0.7249812653
172	0.7246101122
173	0.7244123416
174	0.7238469589
175	0.72314303
176	0.722166467
177	0.7214817309
178	0.7208148472
179	0.7201845287
180	0.7199955183
181	0.7197768705
182	0.7195993525
183	0.7188898605
184	0.7187012493
185	0.7185078408
186	0.7183375457
187	0.7181471943
188	0.7175974714
189	0.7168772954
190	0.7164649107
191	0.7155477594
192	0.7149927063
193	0.7148190023
194	0.7146470256
195	0.7144767106
196	0.7138985626
197	0.7137312679
198	0.71357186
199	0.7128511233
200	0.7121081641
201	0.7119482188
202	0.7114928619
203	0.711335651
204	0.7109895381
205	0.7103827672
206	0.7096475265
207	0.7090236706
208	0.7088409197
209	0.7084653401
210	0.7077410477
211	0.7075902217
212	0.7071466017
213	0.7069884361
214	0.7068404064
215	0.706697125
216	0.7061062998
217	0.7058048865
218	0.7052770134
219	0.7051082535
220	0.7049559985
221	0.7043873064
222	0.7042456653
223	0.7041115505
224	0.7036226792
225	0.7034914082
226	0.7029534147
227	0.7028228199
228	0.7026967451
229	0.7025592019
230	0.7022718967
231	0.7016355442
232	0.7014994434
233	0.7009029224
234	0.7003067452
235	0.6999070348
236	0.699558818
237	0.6990382532
238	0.6989069838
239	0.6987333642
240	0.6984131183
241	0.6982842176
242	0.6977211084
243	0.697217353
244	0.6967162727
245	0.6965977481
246	0.6962835025
247	0.6961431173
248	0.6958428932
249	0.6957181424
250	0.6956039243
251	0.6950457043
252	0.6946861356
253	0.6942397746
254	0.6941170461
255	0.6938360343
256	0.693692893
257	0.6932248925
258	0.6929669206
259	0.6928463439
260	0.6923254519
261	0.6922065216
262	0.6920894673
263	0.6918287911
264	0.6917125023
265	0.6915974799
266	0.6912075906
267	0.6907131821
268	0.6905992411
269	0.6904861147
270	0.6903633046
271	0.6900323671
272	0.6899004536
273	0.6897306807
274	0.6894539729
275	0.6893430591
276	0.6889903799
277	0.6888802012
278	0.6882670575
279	0.6881583726
280	0.6877053899
281	0.6872440131
282	0.6868506889
283	0.6867461649
284	0.6865507724
285	0.6864435484
286	0.6863365481
287	0.6862139098
288	0.6858555858
289	0.6855367777
290	0.6851312973
291	0.6846806343
292	0.6845009433
293	0.6842604828
294	0.6839533182
295	0.6838343735
296	0.6837300396
297	0.6836262121
298	0.6834191842
299	0.683316871
300	0.6832150485
301	0.6831141891
302	0.6828995985
303	0.6824795836
304	0.682382586
305	0.6819979729
306	0.6815615953
307	0.6814469895
308	0.6813479556
309	0.6810758773
310	0.6808800113
311	0.6807677808
312	0.6804436143
313	0.6803461423
314	0.6801392158
315	0.6800423422
316	0.6799386358
317	0.6798425374
318	0.6797478676
319	0.6796252028
320	0.6792598205
321	0.6791085618
322	0.679013963
323	0.6789197447
324	0.6788115237
325	0.6785557122
326	0.6784624096
327	0.6780332872
328	0.6775743862
329	0.6774877701
330	0.6773340421
331	0.6772421409
332	0.6770974401
333	0.67676018
334	0.6766544617
335	0.6765505642
336	0.6764599037
337	0.6762024603
338	0.675930423
339	0.6757946202
340	0.6756643681
341	0.6755664159
342	0.6754645853
343	0.675368519
344	0.6752235814
345	0.6751345912
346	0.6750460541
347	0.6749535121
348	0.6746951383
349	0.6744420024
350	0.6740235376
351	0.6738953936
352	0.6735829794
353	0.6733111317
354	0.6729802009
355	0.6726545203
356	0.6724934117
357	0.6722005526
358	0.6718500928
359	0.6717620902
360	0.6714201015
361	0.6713328937
362	0.6712460239
363	0.671160302
364	0.6710751776
365	0.6707574631
366	0.6703741455
367	0.6702888454
368	0.6702043027
369	0.6699035319
370	0.6696946268
371	0.6691401578
372	0.6690063542
373	0.6685993441
374	0.6685155401
375	0.6681616141
376	0.6680783926
377	0.6677434593
378	0.6676476101
379	0.6675644532
380	0.6672236792
381	0.6671418283
382	0.6670483369
383	0.6669700476
384	0.6665755456
385	0.6658517245
386	0.6657597758
387	0.6655507037
388	0.6654720119
389	0.6653920881
390	0.6653127294
391	0.6652360099
392	0.6651469481
393	0.6649431619
394	0.664867619
395	0.664792083
396	0.6645143664
397	0.6644004993
398	0.6642476347
399	0.663965421
400	0.6638879129
401	0.663508878
402	0.663432099
403	0.6633581653
404	0.6632820678
405	0.662940015
406	0.662645773
407	0.6622052117
408	0.6619563571
409	0.6615991801
410	0.6615236335
411	0.6613441781
412	0.6612690622
413	0.661029335
414	0.6609545059
415	0.6607856217
416	0.6606436152
417	0.6605674544
418	0.6604941061
419	0.6604208587
420	0.6603137652
421	0.660243276
422	0.6600251153
423	0.6599522828
424	0.6598835311
425	0.6597665517
426	0.6595555241
427	0.6589107338
428	0.6586596183
429	0.6585881583
430	0.6585166703
431	0.6584048611
432	0.6580464876
433	0.6579780687
434	0.6577671418
435	0.6576969252
436	0.6574051295
437	0.657245212
438	0.6571751497
439	0.6568423074
440	0.6561224784
441	0.6557596221
442	0.6554325984
443	0.655094771
444	0.6550288761
445	0.6549594816
446	0.6548937768
447	0.6548252511
448	0.6547475383
449	0.6544727202
450	0.6543326087
451	0.6540215575
452	0.6539562306
453	0.6536430309
454	0.6534347726
455	0.6533551045
456	0.6532874269
457	0.653117503
458	0.6530501165
459	0.652945862
460	0.6528678904
461	0.6525019318
462	0.6524350254
463	0.6520970259
464	0.6520304912
465	0.6517902103
466	0.6517274572
467	0.6516664583
468	0.6515705638
469	0.6515049657
470	0.6513161289
471	0.6510746078
472	0.6508501572
473	0.650785134
474	0.6507205186
475	0.6506562529
476	0.6505890153
477	0.6505251437
478	0.650368739
479	0.6500705643
480	0.6500043851
481	0.6497917009
482	0.6495307919
483	0.6494676247
484	0.6494026253
485	0.6493400189
486	0.6492424481
487	0.6491784216
488	0.6491163631
489	0.649054475
490	0.6488488843
491	0.6487893396
492	0.6485841381
493	0.6485220848
494	0.6483177159
495	0.6482561281
496	0.6481952872
497	0.6481350857
498	0.6480777096
499	0.6478811821
500	0.6478225455
501	0.6476542944
502	0.6471315601
503	0.6470735847
504	0.6470160541
505	0.6466664302
506	0.6461155115
507	0.6458313785
508	0.6456024125
509	0.6453315229
510	0.6450892102
511	0.6448902197
512	0.6447596232
513	0.6447023832
514	0.6444079107
515	0.6443511029
516	0.6441906168
517	0.6439607402
518	0.6439067948
519	0.6437469823
520	0.6436880715
521	0.6436327743
522	0.6434156393
523	0.6433261011
524	0.6431319174
525	0.6429311277
526	0.642586706
527	0.6425282397
528	0.6424699728
529	0.64168369
530	0.6416290397
531	0.6415630566
532	0.6414718243
533	0.6412585464
534	0.641200857
535	0.6411435272
536	0.6409803637
537	0.6408849475
538	0.6408190652
539	0.6405760736
540	0.6403301634
541	0.6401178585
542	0.6399698147
543	0.6397004636
544	0.6396464349
545	0.6394039978
546	0.6392946982
547	0.6392412831
548	0.6389672771
549	0.6389106098
550	0.6388571108
551	0.6387065143
552	0.638554277
553	0.6384031807
554	0.6382781298
555	0.6381899693
556	0.6381342893
557	0.6379683707
558	0.6378803163
559	0.6378247201
560	0.6376813559
561	0.637625945
562	0.6374889761
563	0.6374342853
564	0.6373814748
565	0.6373174569
566	0.6371778048
567	0.6371138319
568	0.6370596087
569	0.6368295571
570	0.6366966378
571	0.6365294647
572	0.6362646984
573	0.6361196247
574	0.6360362023
575	0.6359822578
576	0.6359247014
577	0.6356749918
578	0.6356213449
579	0.6355077817
580	0.6354553888
581	0.6352580367
582	0.6352048385
583	0.6348973742
584	0.6348471471
585	0.6345646921
586	0.6344800585
587	0.6344004585
588	0.6343058961
589	0.6342476949
590	0.6341949031
591	0.6341220859
592	0.6340010094
593	0.6337869495
594	0.6336171907
595	0.633564524
596	0.6335149485
597	0.6333866206
598	0.6332847028
599	0.6332326051
600	0.6331553463
601	0.6330370842
602	0.6329878735
603	0.6329276248
604	0.6326992427
605	0.6326504202
606	0.6326040847
607	0.6323630543
608	0.6323115454
609	0.6322602878
610	0.6322092349
611	0.6319838292
612	0.6318436097
613	0.631100468
614	0.6309122957
615	0.6307509298
616	0.6307038311
617	0.6305790884
618	0.6304966296
619	0.6304498646
620	0.6303920631
621	0.6303414965
622	0.6302600012
623	0.6302096683
624	0.6301611263
625	0.6299415699
626	0.6297866625
627	0.6297367163
628	0.6296869154
629	0.6296363059
630	0.6295931806
631	0.6295438198
632	0.6294976542
633	0.6293768953
634	0.6292566299
635	0.6291389685
636	0.6290929972
637	0.6289728545
638	0.6288981173
639	0.6287330728
640	0.6286137722
641	0.6283956344
642	0.6283141764
643	0.6281992035
644	0.6281539987
645	0.6281049906
646	0.62805939
647	0.6278145341
648	0.6277022278
649	0.6276542251
650	0.627608499
651	0.6275347935
652	0.6274908547
653	0.6269721182
654	0.626925381
655	0.626857591
656	0.6265991384
657	0.6265537439
658	0.6263960464
659	0.626350937
660	0.6260826273
661	0.6260363245
662	0.6259652893
663	0.625917989
664	0.6258686374
665	0.6257607738
666	0.6254896376
667	0.6254164881
668	0.6252985639
669	0.6252516217
670	0.6251857213
671	0.6250637398
672	0.6248749309
673	0.6246397425
674	0.624594745
675	0.6245219383
676	0.6244707609
677	0.6243182601
678	0.6239971607
679	0.6239074009
680	0.6232323179
681	0.6231792707
682	0.6230094329
683	0.6228667881
684	0.6228112813
685	0.6227647031
686	0.6227208977
687	0.6226746285
688	0.6225292646
689	0.6224845061
690	0.6224188651
691	0.6223748099
692	0.6220072829
693	0.6219631131
694	0.6218981352
695	0.6216117751
696	0.6214683229
697	0.6214226539
698	0.6213791086
699	0.6210996939
700	0.6209949295
701	0.6209458199
702	0.6208177864
703	0.6207747122
704	0.6206866513
705	0.6204754521
706	0.6204316517
707	0.6203576065
708	0.6202926132
709	0.6202191303
710	0.6201408438
711	0.6200706239
712	0.619905621
713	0.6198630155
714	0.619822624
715	0.6196845806
716	0.6194835926
717	0.6188973936
718	0.6188491551
719	0.6188047288
720	0.6187577516
721	0.618711262
722	0.6186484447
723	0.6186077633
724	0.6185101402
725	0.618464246
726	0.6184200087
727	0.6183765267
728	0.6180817277
729	0.618036824
730	0.6179849701
731	0.6179406396
732	0.617898963
733	0.6178587255
734	0.6178174916
735	0.6177499196
736	0.6177072873
737	0.617663989
738	0.6176217585
739	0.6175212961
740	0.6174691313
741	0.6173583902
742	0.6173090394
743	0.6172657727
744	0.6172258127
745	0.6171243168
746	0.6170835378
747	0.6170423026
748	0.6168028907
749	0.6166905028
750	0.6166430735
751	0.6165438865
752	0.6162986728
753	0.6162600424
754	0.6161232932
755	0.6160258575
756	0.6158716228
757	0.6158155087
758	0.6157688994
759	0.6152307084
760	0.615008402
761	0.6149113086
762	0.6148531197
763	0.6148131033
764	0.6147710106
765	0.6146923918
766	0.6146142707
767	0.6145518643
768	0.6145113274
769	0.6143764551
770	0.6143391516
771	0.6142715144
772	0.6142085006
773	0.6141458803
774	0.6140907662
775	0.6140530513
776	0.6138914762
777	0.6138411569
778	0.6138014456
779	0.6137534222
780	0.613712063
781	0.6136431223
782	0.6135841174
783	0.6135450244
784	0.6134915484
785	0.6132306151
786	0.6129368814
787	0.6128933544
788	0.6128375291
789	0.6127989861
790	0.6126196304
791	0.6124510687
792	0.612399435
793	0.6123584015
794	0.6119430907
795	0.6113045374
796	0.6112079693
797	0.6111708064
798	0.6105918311
799	0.6105333184
800	0.6103871779
801	0.6102830467
802	0.6102465554
803	0.6102057656
804	0.6101479517
805	0.6101094728
806	0.6100689964
807	0.6100309428
808	0.6099583342
809	0.6098373254
810	0.6097992426
811	0.6097456508
812	0.6096263541
813	0.6094352938
814	0.6093848984
815	0.6087737903
816	0.608678425
817	0.6080917945
818	0.6080514955
819	0.6080113341
820	0.6079225889
821	0.6078826764
822	0.6078429276
823	0.6076068725
824	0.6075692404
825	0.6073799246
826	0.607340262
827	0.6073007834
828	0.6072557942
829	0.6070865114
830	0.6070503914
831	0.6070014134
832	0.6068428399
833	0.6068037312
834	0.6066268853
835	0.6065544597
836	0.6064656485
837	0.6064266441
838	0.606389675
839	0.6063311949
840	0.6062134184
841	0.6061563787
842	0.606119837
843	0.6059916074
844	0.6059529265
845	0.6059165444
846	0.6056502081
847	0.6056138624
848	0.6055696548
849	0.605531295
850	0.6054336991
851	0.6053507429
852	0.6052311268
853	0.6051929579
854	0.6051571429
855	0.6049267804
856	0.6048880911
857	0.604793276
858	0.604356847
859	0.604318786
860	0.6042605062
861	0.6039829148
862	0.6039448857
863	0.6038618736
864	0.603807497
865	0.6037697869
866	0.6036385318
867	0.6035292206
868	0.603493914
869	0.6034564093
870	0.6034077754
871	0.6033729015
872	0.6032617528
873	0.6032264953
874	0.6031870662
875	0.6031174945
876	0.6030262894
877	0.6029891555
878	0.6029353564
879	0.6029005838
880	0.6027670278
881	0.6027318676
882	0.6026776836
883	0.6026313341
884	0.6025990125
885	0.6025646445
886	0.6024834879
887	0.6024496832
888	0.6023750322
889	0.6019792523
890	0.6018273016
891	0.60177338
892	0.6015716147
893	0.6015363299
894	0.6014907859
895	0.6013886414
896	0.6013543342
897	0.6012954568
898	0.6011037533
899	0.601067311
900	0.6009882807
901	0.600941891
902	0.6009056006
903	0.6008629032
904	0.6008288958
905	0.6005833612
906	0.6005261911
907	0.6004915561
908	0.6004398291
909	0.6003649468
910	0.5997988027
911	0.5997628845
912	0.5997266869
913	0.5996845397
914	0.5996511221
915	0.5995763232
916	0.5994027691
917	0.5993098596
918	0.5992742629
919	0.5992279338
920	0.5991924367
921	0.5990474953
922	0.5989858975
923	0.5988404644
924	0.5988050218
925	0.5987720112
926	0.598622525
927	0.5985704212
928	0.5985352313
929	0.5985000993
930	0.5983017713
931	0.5982667335
932	0.598116331
933	0.5980835173
934	0.5976288953
935	0.5974853735
936	0.5973725303
937	0.5973377026
938	0.5973029225
939	0.5972621441
940	0.5969220862
941	0.5968873245
942	0.5968527281
943	0.596532075
944	0.5964974672
945	0.5964258504
946	0.5963794026
947	0.5963003425
948	0.596230248
949	0.5961553618
950	0.5961186674
951	0.5960759816
952	0.5960416129
953	0.596009594
954	0.5957790901
955	0.5957413554
956	0.5955782155
957	0.5955254714
958	0.5954735046
959	0.5954402999
960	0.5953892208
961	0.5953551988
962	0.5953212308
963	0.5952874086
964	0.5947762619
965	0.5945903621
966	0.5943752445
967	0.5942753911
968	0.5941689692
969	0.5941015756
970	0.5940698614
971	0.5938667126
972	0.5937946805
973	0.5936768012
974	0.5936430321
975	0.5936092947
976	0.5935321555
977	0.593498528
978	0.593465005
979	0.5934092753
980	0.593359999
981	0.5932901116
982	0.5932466079
983	0.5931123482
984	0.5930789446
985	0.5930478576
986	0.592981469
987	0.5926398019
988	0.5926065901
989	0.5925755927
990	0.5923631066
991	0.5923300542
992	0.5922981842
993	0.592255936
994	0.5920820816
995	0.5919487805
996	0.5918228696
997	0.5917899112
998	0.59175696
999	0.5917002565
